File: /home/phss/Documentos/DataScience/GBS_Tassel4Poly/fastq/AHVLYCDRX3_1_fastq.txt.gz
Total reads: 100000
Accepted reads (with barcode and cut site): 94015(0.94015 of total)
Accepted reads found in TOPM: 94015(0.94015 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
3-IAC162095:AHVLYCDRX3:1:1	452	0.00452	452	0.00452
118-GBWI-1139:AHVLYCDRX3:1:3	49	4.9E-4	49	4.9E-4
88-IAC162044:AHVLYCDRX3:1:11	514	0.00514	514	0.00514
75-IACCTC065756:AHVLYCDRX3:1:9	812	0.00812	812	0.00812
54-IAC162114:AHVLYCDRX3:1:7	650	0.0065	650	0.0065
143-IACCTC052512:AHVLYCDRX3:1:6	73	7.3E-4	73	7.3E-4
110-IAC162048:AHVLYCDRX3:1:2	62	6.2E-4	62	6.2E-4
77_R2:AHVLYCDRX3:1:7	322	0.00322	322	0.00322
132-IAC131011:AHVLYCDRX3:1:4	1686	0.01686	1686	0.01686
133-IAC145061:AHVLYCDRX3:1:4	145	0.00145	145	0.00145
13-IAC133169:AHVLYCDRX3:1:2	698	0.00698	698	0.00698
98-IAC162020:AHVLYCDRX3:1:12	457	0.00457	457	0.00457
147-IACCTC058259:AHVLYCDRX3:1:6	3351	0.03351	3351	0.03351
138-IAC162011:AHVLYCDRX3:1:5	307	0.00307	307	0.00307
122-IACCTC059510:AHVLYCDRX3:1:3	440	0.0044	440	0.0044
29-IACSP047060:AHVLYCDRX3:1:4	667	0.00667	667	0.00667
97-IACSP022033:AHVLYCDRX3:1:12	841	0.00841	841	0.00841
115-IAC121044:AHVLYCDRX3:1:2	309	0.00309	309	0.00309
84-IACSP973313:AHVLYCDRX3:1:10	477	0.00477	477	0.00477
64-IACSP992110:AHVLYCDRX3:1:8	354	0.00354	354	0.00354
79-IACSP993381:AHVLYCDRX3:1:10	328	0.00328	328	0.00328
113-IAC133150:AHVLYCDRX3:1:2	215	0.00215	215	0.00215
91-IAC133176:AHVLYCDRX3:1:11	479	0.00479	479	0.00479
50-IACSP022032:AHVLYCDRX3:1:6	710	0.0071	710	0.0071
18-IACCTC052562:AHVLYCDRX3:1:3	580	0.0058	580	0.0058
120-IAC133151:AHVLYCDRX3:1:3	134	0.00134	134	0.00134
88_R3:AHVLYCDRX3:1:7	188	0.00188	188	0.00188
74-IACSP012434:AHVLYCDRX3:1:9	563	0.00563	563	0.00563
83-RB99395:AHVLYCDRX3:1:10	806	0.00806	806	0.00806
78-IACSP026234:AHVLYCDRX3:1:9	414	0.00414	414	0.00414
2-IAC131012:AHVLYCDRX3:1:1	586	0.00586	586	0.00586
89-IAC133245:AHVLYCDRX3:1:11	539	0.00539	539	0.00539
97_R6:AHVLYCDRX3:1:8	119	0.00119	119	0.00119
82-IAC07381:AHVLYCDRX3:1:10	509	0.00509	509	0.00509
55-IACSP034090:AHVLYCDRX3:1:7	687	0.00687	687	0.00687
33-IACCTC052560:AHVLYCDRX3:1:4	585	0.00585	585	0.00585
76-IACCTC069743:AHVLYCDRX3:1:9	920	0.0092	920	0.0092
81-IACSP977687:AHVLYCDRX3:1:10	602	0.00602	602	0.00602
99-IAC162035:AHVLYCDRX3:1:12	759	0.00759	759	0.00759
63-IACSP977065:AHVLYCDRX3:1:8	775	0.00775	775	0.00775
140-IAC162097:AHVLYCDRX3:1:5	863	0.00863	863	0.00863
10-IAC081608:AHVLYCDRX3:1:2	298	0.00298	298	0.00298
58-IAC162104:AHVLYCDRX3:1:7	494	0.00494	494	0.00494
73-IACSP023174:AHVLYCDRX3:1:9	794	0.00794	794	0.00794
39-IAC133242:AHVLYCDRX3:1:5	620	0.0062	620	0.0062
148-IAC074611:AHVLYCDRX3:1:6	795	0.00795	795	0.00795
128-IACSP018158:AHVLYCDRX3:1:4	220	0.0022	220	0.0022
94-IAC075010:AHVLYCDRX3:1:11	595	0.00595	595	0.00595
6-IACSP038164:AHVLYCDRX3:1:1	359	0.00359	359	0.00359
28-IAC04697:AHVLYCDRX3:1:3	807	0.00807	807	0.00807
108-IACCTC077142:AHVLYCDRX3:1:1	2525	0.02525	2525	0.02525
52-IAC162052:AHVLYCDRX3:1:6	368	0.00368	368	0.00368
114-IACSP016444:AHVLYCDRX3:1:2	65	6.5E-4	65	6.5E-4
105-IAC133195:AHVLYCDRX3:1:1	82	8.2E-4	82	8.2E-4
30-IAC085024:AHVLYCDRX3:1:4	691	0.00691	691	0.00691
93-IACSP021142:AHVLYCDRX3:1:11	657	0.00657	657	0.00657
37-IACCTC059622:AHVLYCDRX3:1:5	1002	0.01002	1002	0.01002
103-IACCTC091073:AHVLYCDRX3:1:1	111	0.00111	111	0.00111
67-IACSP022019:AHVLYCDRX3:1:8	720	0.0072	720	0.0072
92-IACCTC058131:AHVLYCDRX3:1:11	756	0.00756	756	0.00756
40-IAC123169:AHVLYCDRX3:1:5	1328	0.01328	1328	0.01328
96-IAC131010:AHVLYCDRX3:1:12	589	0.00589	589	0.00589
36-IACSP043051:AHVLYCDRX3:1:4	736	0.00736	736	0.00736
146-IAC098109:AHVLYCDRX3:1:6	373	0.00373	373	0.00373
153-IAC133173:AHVLYCDRX3:1:7	94	9.4E-4	94	9.4E-4
69-IACCTC053534:AHVLYCDRX3:1:8	734	0.00734	734	0.00734
56 -IACCTC061093:AHVLYCDRX3:1:7	481	0.00481	481	0.00481
71-IACSP012423:AHVLYCDRX3:1:9	824	0.00824	824	0.00824
154-IACSP96-7569:AHVLYCDRX3:1:7	89	8.9E-4	89	8.9E-4
43-IAC081614:AHVLYCDRX3:1:5	711	0.00711	711	0.00711
45-IAC127052:AHVLYCDRX3:1:6	959	0.00959	959	0.00959
60-IAC127057:AHVLYCDRX3:1:7	618	0.00618	618	0.00618
31-IAC093334:AHVLYCDRX3:1:4	465	0.00465	465	0.00465
90-IACCTC065708:AHVLYCDRX3:1:11	424	0.00424	424	0.00424
102-IACCTC059506:AHVLYCDRX3:1:1	96	9.6E-4	96	9.6E-4
44-IAC127056:AHVLYCDRX3:1:5	387	0.00387	387	0.00387
87-IACCTC053600:AHVLYCDRX3:1:11	227	0.00227	227	0.00227
1-IAC162014:AHVLYCDRX3:1:1	786	0.00786	786	0.00786
89_R4:AHVLYCDRX3:1:8	223	0.00223	223	0.00223
16-IAC133177:AHVLYCDRX3:1:2	369	0.00369	369	0.00369
111-IAC162063:AHVLYCDRX3:1:2	98	9.8E-4	98	9.8E-4
42-IACSP031010:AHVLYCDRX3:1:5	742	0.00742	742	0.00742
51-IACSP043078:AHVLYCDRX3:1:6	200	0.002	200	0.002
139-IAC133168:AHVLYCDRX3:1:5	2600	0.026	2600	0.026
109-IAC133172:AHVLYCDRX3:1:1	880	0.0088	880	0.0088
106-IACSP018002:AHVLYCDRX3:1:1	63	6.3E-4	63	6.3E-4
66-IAC127064:AHVLYCDRX3:1:8	829	0.00829	829	0.00829
96_R5:AHVLYCDRX3:1:8	107	0.00107	107	0.00107
41-IAC145084:AHVLYCDRX3:1:5	970	0.0097	970	0.0097
86-IAC07412:AHVLYCDRX3:1:10	855	0.00855	855	0.00855
149-IACSP041074:AHVLYCDRX3:1:6	206	0.00206	206	0.00206
116-IACCTC077211:AHVLYCDRX3:1:2	769	0.00769	769	0.00769
70-IACCTC086260:AHVLYCDRX3:1:8	885	0.00885	885	0.00885
130-IAC131035:AHVLYCDRX3:1:4	597	0.00597	597	0.00597
107-IAC133227:AHVLYCDRX3:1:1	1424	0.01424	1424	0.01424
112-IAC162087:AHVLYCDRX3:1:2	174	0.00174	174	0.00174
136-IAC133266:AHVLYCDRX3:1:5	315	0.00315	315	0.00315
142-IAC162047:AHVLYCDRX3:1:6	43	4.3E-4	43	4.3E-4
38-IACSP952289:AHVLYCDRX3:1:5	329	0.00329	329	0.00329
144-IACSP045051:AHVLYCDRX3:1:6	162	0.00162	162	0.00162
72-IAC077078:AHVLYCDRX3:1:9	364	0.00364	364	0.00364
100-IAC133175:AHVLYCDRX3:1:12	514	0.00514	514	0.00514
49-IAC127055:AHVLYCDRX3:1:6	530	0.0053	530	0.0053
14-IAC133104:AHVLYCDRX3:1:2	411	0.00411	411	0.00411
101-IAC162079:AHVLYCDRX3:1:12	459	0.00459	459	0.00459
12-IAC133164:AHVLYCDRX3:1:2	644	0.00644	644	0.00644
22-IAC133269:AHVLYCDRX3:1:3	947	0.00947	947	0.00947
68-IACSP021050:AHVLYCDRX3:1:8	894	0.00894	894	0.00894
59-IACSP023062:AHVLYCDRX3:1:7	245	0.00245	245	0.00245
25-IACSP041067:AHVLYCDRX3:1:3	664	0.00664	664	0.00664
65-IACCTC065755:AHVLYCDRX3:1:8	1091	0.01091	1091	0.01091
141-IAC089094:AHVLYCDRX3:1:5	244	0.00244	244	0.00244
