Input file: /home/phss/Documentos/DataScience/GBS_Tassel4Poly/mergedTagCounts/myMasterGBSTagsAHVLYCDRX3.sam
Output file: topm/alignment.topm
Total 63676 tags
	31236 were aligned to unique postions
	423 were aligned to multiple postions
	32017 could not be aligned.

nPositions  nTags
0           32017
1           31236
2           351
3           33
4           6
5           2
6           1
7           2
8           1
9           2
10          1
15          1
27          1
30          1
38          1
47          1
77          1
87          1
127         17
