chr	start	end	strand	totalbp	nTags	nReads	nTaxaCovered	minTaxaCovered	status	nVariableSites	posVariableSites	nVarSitesKept	posVarSitesKept	refTag?	maxTagLen	minTagLen
1	209441	209504	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	232092	232155	-1	64	1	2	2	15	invariant	0	NA	0	NA	1	64	64
1	240196	240259	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	303646	303709	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	303586	303649	-1	64	4	26	22	15	polymorphic	3	28:32:40	3	28:32:40	1	64	64
1	351534	351597	-1	64	5	19	17	15	polymorphic	6	12:20:52:59:60:61	6	12:20:52:59:60:61	1	64	64
1	363728	363791	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	464265	464328	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	464205	464268	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	473485	473548	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	557406	557469	1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	570057	570120	-1	64	1	8	8	15	invariant	0	NA	0	NA	1	64	64
1	580067	580130	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	580007	580070	-1	64	1	1	1	15	invariant	0	NA	0	NA	0	64	64
1	632477	632540	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	716918	716981	1	64	2	10	8	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	716858	716921	-1	64	3	29	25	15	polymorphic	2	23:63	1	23	1	64	64
1	746714	746777	1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	746654	746717	-1	64	2	9	8	15	tooFewTaxa	NA	NA	0	NA	1	64	64
1	811625	811688	1	64	1	12	10	15	invariant	0	NA	0	NA	1	64	64
1	833468	833531	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
1	1016517	1016580	1	64	2	2	2	15	tooFewTaxa	NA	NA	0	NA	0	64	64
1	1074652	1074715	-1	64	1	1	1	15	invariant	0	NA	0	NA	1	64	64
